customer_tweet_id,customer_message,intent,confidence,notes
1206247,@AmericanAir DM sent.,follow_up,high,Confirming DM sent to agent
312228,@AmericanAir Appreciate what?,follow_up,high,Clarifying previous statement made by support
991322,@AmericanAir Thank you. I have done that,follow_up,high,Confirming requested action completed
2844768,@AmericanAir Correct.,follow_up,high,Affirming previous question from support agent
1411117,@AmericanAir That doesn't seem right,follow_up,medium,Disputing prior information given by support
1520560,@AmericanAir It's all such a racket.,non_support,high,General expression of frustration without actionable request
2384389,"@AmericanAir Ok, so I've DM'd you, but no reply.",follow_up,high,Follow-up regarding unanswered DM
2919509,@AmericanAir This is the 4th time this has happened to me!,other_unclear,medium,Complaint about recurring issue without specific details
32540,@AmericanAir Sent you the DM with the record locator,follow_up,high,Sending record locator via DM to support
842047,@AmericanAir I sent it to you via DM. Thank you.,follow_up,high,Confirming details sent in DM
205373,@AmericanAir I have sent u the details via DM,follow_up,high,Confirming booking details sent via DM
2143131,@AmericanAir Well you’re not doing enough,follow_up,high,Expressing dissatisfaction with ongoing support effort
2696359,@AmericanAir To little to late after you made our baby starve,other_unclear,medium,Venting about service failure without actionable request
2926053,@AmericanAir AA1566 this a.m. Flight crew was amazing!,non_support,high,Compliment praising flight crew
2747726,@AmericanAir Anyone I can call to ask them to hold it?,flight_disruption,high,Inquiring if connecting plane can be held
2902978,"@AmericanAir Sorry, what do you need??",follow_up,high,Asking support what information is needed
867726,@AmericanAir You are so right. Life is so full of #AAdventures,non_support,high,Casual positive comment engaging with brand
786625,"@AmericanAir Thank you, will do!",non_support,high,Polite acknowledgement of support advice
2514506,@AmericanAir Now our seats aren't together.,seat,high,Reporting separated seat assignments
1728135,@AmericanAir Flight is 100% full.,flight_information,medium,Inquiring or stating flight capacity status
1836827,@AmericanAir Nope all set cancelled flight getting full refund,refund_compensation,high,Informing that cancelled flight refund is being obtained
1592568,@AmericanAir 125598130514,follow_up,high,Providing ticket or baggage tracking number
1411083,@AmericanAir Or at least get some beverages handed out,onboard_aircraft,high,Requesting beverage service while onboard
1756727,@AmericanAir I know !!,non_support,high,Conversational agreement
1146874,"@AmericanAir @163646 And again, they don’t get it...",non_support,high,Conversational remark directed at third party
185701,@AmericanAir thanks for the quick response! Hopefully it's up in the air soon! 👍🏼,non_support,high,Thanking support and expressing departure hope
907593,@AmericanAir AA0098. Also an update on the socks/ blanket situation would be nice 👍,onboard_aircraft,high,Inquiring about onboard amenities (socks/blanket)
2016408,@AmericanAir @116147 Preferred airline of American Nazi's. https://t.co/79nps14moj,non_support,high,Offensive commentary with no support request
970703,@AmericanAir The landing in Portland that is. Pulling up 100 ft above the flight deck? Who does that?,flight_disruption,medium,Questioning safety and handling of aborted landing
1565423,@AmericanAir No it doesn’t. I’ve even called your slightly english speaking hotline and they wouldn’t do it.,follow_up,high,Disputing prior guidance regarding phone hotline
701891,"@AmericanAir Yep, meant 5608. This is what 4.5 hours in an airport on Thanksgiving does to a person.",flight_disruption,high,Correcting flight number while reporting long airport delay
2591114,"@AmericanAir This was an AA error, don’t you take responsibility to it?",other_unclear,medium,General complaint regarding airline error
2354076,@AmericanAir A refund of the ridiculous $600 changeover fee would be nice.,refund_compensation,high,Requesting refund for ticket change fee
2595722,@AmericanAir @186585 I will never fly on any other airline again.,non_support,high,Strong statement of customer loyalty
1059065,@AmericanAir I’m still in the middle of the worst travel day ever!! No end in sight. Thx for nothing,flight_disruption,high,Venting about severe ongoing travel disruption
407623,"@AmericanAir @212165 Wait, are you actually seeing SYD-LAX-DCA Award 
flights?!?!?",loyalty_upgrade,high,Inquiring about award seat availability
320711,@AmericanAir I have 5 upcoming flights in this month alone. I'm tweeting every delay to prove my point 💁,flight_disruption,high,Complaining about persistent flight delays across trips
2709410,@AmericanAir at what point are you going to offer us a refund or different flight?,refund_compensation,high,Asking for refund or alternative flight options
2714322,@AmericanAir If you don’t refund my money this is my last AA flight.,refund_compensation,high,Demanding monetary refund for ticket
1210848,@AmericanAir I am not happy 😡total bs and system very slow this am not happy client need someone to call me,contact_support,high,Requesting urgent phone call from support
2509196,@AmericanAir The inbound flights arrival time just keeps slipping..... https://t.co/6JaLViSmsZ,flight_disruption,high,Monitoring delayed inbound aircraft arrival
904832,@AmericanAir Thanks! Doesn't look like I am keeping that status this year :(,loyalty_upgrade,high,Discussing loss of elite frequent flyer status
391329,@AmericanAir The total cost came to be $250 for the same flight! This is ridiculous!!!,fees_charges,high,Complaining about additional flight price difference
2856026,@AmericanAir 656.  Why?  How many planes are you having toilet problems on?,onboard_aircraft,high,Reporting inoperative aircraft lavatories
18785,@AmericanAir Flight 254 from Maui to LAX.  First class (seating and service).,follow_up,high,Supplying flight and cabin details in active thread
2400710,@AmericanAir But food??? They stop and get food... what if I was late because of their same stop??,airport_gate_staff,medium,Complaining about gate/flight crew delaying flight for food
333714,"@AmericanAir @158394 Classic #AAteam 
Hope it gets resolved Chris",non_support,high,Third-party encouragement to fellow traveler
2960800,@AmericanAir Did it depart? You responded 15 min after that time,flight_information,high,Inquiring whether flight has departed
2974048,@AmericanAir @820223 Letting a navy seal into any lounge may be a bad decision. 😘😉,non_support,high,Humorous casual banter regarding lounge access
1802248,@AmericanAir I don't pay the car dealership for my insurance you fucking twat.,non_support,high,Hostile outburst without support inquiry
1146872,@AmericanAir @163646 It’s not about a singular flight. It’s a systematic issue.,non_support,high,Commentary on systemic airline issues
171295,@AmericanAir You don't need to check the status the flight been delayed and I been known fuck off,non_support,high,Dismissive comment declining status assistance
172593,@AmericanAir Thank you I will let you know when I book everything and stuff I like the Airbuses,non_support,high,Friendly closing remark about future flight bookings
184256,@AmericanAir Fantastic! Thanks! And it looks like my seat is selected now!,seat,high,Confirming seat selection resolved
2127779,@AmericanAir Last one on the plane. Never been so happy to see seat 1A.,non_support,high,Casual remark expressing satisfaction with assigned seat
2321087,@AmericanAir Alright. Fingers crossed. Happy Monday to you too.,non_support,high,Friendly closing pleasantries
1484538,@AmericanAir In DFW then re-check in the morning. Now you guys are holding my bags here DFW till tomorrow.,baggage,high,Complaining about baggage held overnight at hub
258067,@AmericanAir Yeh American. It's gonna take real action not videos to improve perceptions of your service,non_support,high,General opinion on brand reputation
1118791,"@AmericanAir I didn't write it,  A very angry customer did. I myself had a nice flight.  Thanks",non_support,high,Clarifying compliment on flight experience
1404726,@AmericanAir And if it's not ... There will be plenty of Bourbon in Louisville to soothe the pain :),non_support,high,Humorous closing comment
327141,"@AmericanAir Well, you didn't on October 5th. That's when I traveled to SJU.",follow_up,high,Contesting past flight date detail with support
2844774,@AmericanAir ABSOLUTELY I did.  He heard it as I ran past him. 100%,follow_up,high,Clarifying interaction with gate staff in ongoing complaint
1631934,"@AmericanAir It’s one of the weird travel things I get the most anxious about, so THANK YOU 🙏🏻🙏🏻🙏🏻",non_support,high,Expressing gratitude and relief
52410,@AmericanAir Yes that would work. I am traveling with one other person. How should we go about this???,booking_change,high,Inquiring about process to adjust booking for companions
1712175,@AmericanAir So I'm flying tomorrow night first class LAX to Miami. What can I expect?,flight_information,high,Asking about first class flight amenities and service
1172331,@AmericanAir Who can access them? Please investigate and advise.,other_unclear,medium,Requesting investigation into unspecified access permissions
1767092,@AmericanAir An hour late and we are ALL sitting on the plane waiting,flight_disruption,high,Complaining about extended delay waiting on the plane
907638,@AmericanAir I called and they were able to resolve my issue in a respectful time and manner,non_support,high,Reporting positive phone support resolution
893206,@AmericanAir Thank you for your response! Where is DM located at DFW?,flight_information,medium,Inquiring about physical airport location of DM
1460835,@AmericanAir @americanair - why not just tell me you updated crew from economy to first.,seat,high,Questioning crew seating and seat reassignment
854918,@AmericanAir Thank you so much! Love AA! Look forward to flying with you again near the future!,non_support,high,Praising airline and looking forward to next flight
2510745,@AmericanAir Your apologies don't mean anything if you never get better.,non_support,high,General venting regarding airline apologies
1185979,@AmericanAir But I have thousands of dollars in change fees on my Europe flights.,fees_charges,high,Complaining about expensive international change fees
1907989,"@AmericanAir There are none.  This flight is full and I paid extra for a,window seat so I could sleep",seat,high,Reporting issue with paid window seat selection
259579,"@AmericanAir That doesn't make me feel rewarded for my loyalty, sad. @13309 what boarding group does Delta reward your status with?",loyalty_upgrade,high,Expressing disappointment with loyalty perks and boarding
2191848,"@AmericanAir Every single time I fly with @AmericanAir it’s far from “exceptional”, each time Its the same excuses, never ownership",non_support,high,General complaint regarding lack of airline accountability
2621397,@AmericanAir Missed first night of business and now day two. #allyou #peopleneedtogetthere #youaresorry #lasttime,flight_disruption,high,Severe disruption leading to missed business obligations
713447,@AmericanAir You inconvinced me and LIED and I'm looking for credit back and file complaint against employees.,refund_compensation,high,Requesting travel credit back and filing complaint
1002991,@AmericanAir Not availability problem. Have to make a last minute change and now I have to forfeit all the miles I spent. Ridiculous.,booking_change,high,Complaining about loss of miles on last-minute itinerary change
265716,@AmericanAir That’s nice.  Thank you. There are plenty of restaurants already at the airport. But we need some where sit.,airport_gate_staff,medium,Reporting inadequate seating facilities in airport concourse
1576609,@AmericanAir It's just upsetting that all airlines don't take responsibility for their s.n.a.f.u.s and just shaft the customer. It's childish 😕😑,non_support,high,Venting about airline industry practices
2116425,"@AmericanAir @AmericanAir No, this was at security. Not at boarding. You're not holding a security priority lane any longer.",airport_gate_staff,high,Complaining about removed priority security line access
2174435,@AmericanAir There was definitely a change charge to the tune of 70% of original cost. I guess the 3 hour delay was free of charge. Thanks again.,fees_charges,high,Complaining about steep ticket change fee during delay
2691138,@AmericanAir We've been on this plane since 6a eastern time…on a flight that usually takes 4.5 hours…with so so service…terrible,flight_disruption,high,Reporting lengthy tarmac delay and onboard delays
376868,@AmericanAir give your websites some type of basic function to select your own flights for multi city pairings,booking_change,medium,Requesting multi-city booking capability on website
1067344,"@AmericanAir Are you kidding me. Your website, app, and service kiosk wouldn't let us check in when we were supposed to. You guys suck.",check_in,high,"Unable to complete check-in on app, web, or kiosk"
1868718,@AmericanAir Oh look at that. They were all at the tying carousel and no one told us. You guys suck. https://t.co/884GycFUA8,baggage,high,Locating misrouted bags at incorrect carousel
375910,@AmericanAir Will do. I do hope this gets resolved ASAP because otherwise this work trip for @18019 may be ruined.,follow_up,high,Acknowledging support instruction for urgent trip issue
1002423,@AmericanAir Just arrived at the gate. That fight to ORD is delayed as well and since we aren't holding planes today I'll work to book another one.,booking_change,high,Seeking rebooking due to delayed connecting flight
858641,@AmericanAir Then she said I had to check it as soon as I walked 1 minute from the plane to boarding gate . They said flight closed,airport_gate_staff,high,Disputing gate agent action closing flight and gate-checking bag
1850123,"@AmericanAir I fly with you often but because my ticket is the ""no change"" flight they wouldn't fix. The end result would have been the same",booking_change,high,Inability to alter restricted non-changeable ticket
1515541,@AmericanAir Couldn't get out of my sales meeting as early as I had hoped ... such is life ... thanks for your help!,non_support,high,Closing message thanking support after missing flight
1787519,@AmericanAir Now I have to consolidate and now my bag is too wide to fit under the seat. INCONVENIENT when traveling.,baggage,high,Complaining about carry-on size limitations and consolidation
2284896,@AmericanAir You had the chance and refused to be reasonable. Looking forward to sharing my friends' @AmericanAir horror stories.,non_support,high,Expressing anger and threatening negative social sharing
2357007,"@AmericanAir Yes, if you consider “Baggage status: File xxxxxxx has been closed” actually tracking anything. Or even informative.",baggage,high,Complaining about inaccurate baggage claim tracking
1365064,@AmericanAir these situations need better communication.  We were told to go to a diff gate and now back w no corrective announcement,airport_gate_staff,high,Complaining about poor communication and confusing gate switches
1946697,"@AmericanAir Its a bit late for that given I fly today.  I want free bags applied to a AA Advantage 4T1BW36, confirmation DHHSOR.  #FAA #FTC",fees_charges,high,Requesting waiver of checked baggage fees for account
2383973,"@AmericanAir #joke. How are you ""helping"" your top tier passengers? #rude employees #terrible #passengerExperience NO #CustomerLoyalty.",airport_gate_staff,medium,Complaining about rude staff and poor elite treatment
1592562,"@AmericanAir Dealing w/ SFO mgr: Mark Lam, who will not tell me how to reach the CR agent who he earlier said does not exist",contact_support,high,Seeking escalation contact for Customer Relations
2378413,@AmericanAir Ali Khatab finally did the right thing. Thx to him. No thanks to AA for resisting and not doing the right thing initially.,non_support,high,Commending helpful employee while criticizing company
1812226,"@AmericanAir How exactly? Please elaborate? If today’s treatment was anything to go by, I don’t really want your team’s ‘great care’.",follow_up,high,Challenging support agent's offer of assistance
291926,@AmericanAir Yeah in Wednesday it was the same way until the time of departure!  You’ll forgive me if my confidence is at an all time low!,flight_disruption,high,Frustration over repeated flight departure delays
1084105,@AmericanAir Also our @46987 is flying @americanair this week as they head into New Orleans! https://t.co/a0qK44K10s,non_support,high,Sharing travel news about acquaintances
925989,@AmericanAir That is a stupid response - that is the number I have called and getting disconnected from- why don’t you read the original tweet,contact_support,high,Reporting phone support disconnection and poor response
1526338,@AmericanAir Yes but your website timed out. Then increased the price.  I know about dynamic pricing.  Glitch then increase fare is why I am upset.,fees_charges,high,Disputing price jump triggered by website error
2119599,"@AmericanAir I’m not a million miler and am just a small fish in the frequent flier pool, but I️ do try to stay loyal to AA...",loyalty_upgrade,medium,Discussing brand loyalty and frequent flyer standing
798521,"@AmericanAir Missed my connection because of your constant delays, was lied to about airport shuttle transportation to my hotel.",flight_disruption,high,Missed connection caused by delays and false hotel shuttle info
968348,@AmericanAir She doesn't have twitter but her name is Emily Hinckley and if I were American Airlines I would be calling her and offering an apology,contact_support,medium,Urging airline to contact customer directly with apology
1942622,"@AmericanAir We had to purchase a totally new flight, would love to connect on a refund. What do you mean by locator?",refund_compensation,high,Seeking refund after rebooking replacement flight
1439236,@AmericanAir I wish I had but did not.  But she was the blond lady with her hair in an up-do at front desk in arrivals lounge Term 3,follow_up,high,Supplying physical description of airport agent
2987780,@AmericanAir Thanks. Looks like a lot of mistakes in @116125 at this time. Same as LH 410. isn’t diverted to LGA,flight_information,medium,Inquiring about conflicting flight routing information
2864245,@AmericanAir Define a few.  They haven't started boarding yet so 6:35 or a few minutes is not a valid estimate,flight_information,high,Questioning inaccurate boarding timeline estimates
713475,@AmericanAir If my bag does not appear by any means you guys would need to make me a refund of all my articles that wore inside my bag!,baggage,high,Claiming reimbursement for lost baggage contents
1566224,"@AmericanAir very delightful return trip ~ multiple people needing special assistance. The team was quick, efficient and very courteous. AA+",non_support,high,Praising airport assistance staff for courteous care
1261508,@AmericanAir I worked with them.  They were very helpful and got me rebooked into Nashville.  All four agents at DCA 35X were fast!,non_support,high,Commending gate agents for swift rebooking service
1187827,"@AmericanAir I could go on and on, but this was the most annoying of about 10 issues. I will never fly with you again.",non_support,high,Stating intention to stop flying with carrier
2522664,@AmericanAir understood! Thank you! Trying to help a friend of mine who has no Twitter understand this new world. Thanks again I will (1/2),non_support,high,Polite acknowledgement of social media advice
945069,@AmericanAir Let me get this straight I have to DM you when my flight is complete? Shouldn't you be DM'ing me ? Who the hell taught y'all CS?,contact_support,high,Criticizing support channel protocol and responsiveness
1306894,"@AmericanAir Since 5pm we've had a dozen flight times from 8 to 12, back and forth. Different times on different screens. Horrendous communication",flight_disruption,high,Reporting erratic delay announcements and schedule shifts
1618120,@AmericanAir I tried everything and it’s now $300. I clicked book right after I saw it and it went away.  How is that possible within minutes?,fees_charges,high,Questioning abrupt fare increase during booking
1778214,@AmericanAir You have the best #employees ! Thank you @AmericanAir ! These two are real gems. #superstars #mademesmile,non_support,high,Compliment celebrating excellent employees
162340,"@AmericanAir So - not likely that AA would book a pax with that tight a connection, but the replacement F/A is ok?",flight_disruption,medium,Questioning crew scheduling delay versus passenger connection policy
562499,@AmericanAir AA3202 has been delayed 4-times! We’ve been advised every hour another 30-60 mins. Isn’t DFW your ‘hub’?!,flight_disruption,high,Complaining about rolling delays for flight AA3202
1426545,@AmericanAir thanks @9484 i have been reunited. just need better and more comm on the ground it would go a long way to improve the experience .,baggage,high,Confirming baggage recovered with feedback on ground communication
1758294,"@AmericanAir We r still sitting in boarding waiting for a plane that has been in maint. for 4 hours.This is not OK.No food,no back up plan,unsafe plane",flight_disruption,high,Extended mechanical delay at gate with no provisions
1720438,@AmericanAir This #SSSS code comes from @AmericanAir - don't make like @120943 did the selection.  It was a complete waste of my time and their resources.,check_in,high,Complaining about extra security screening code on boarding pass
2748742,"@AmericanAir with not so friendly employees. I’m a patient person, but this is unacceptable. Customer service have to be a priority and a good one, because I’m paying for it and the least I expect is bad treatment.",airport_gate_staff,high,Reporting mistreatment by unfriendly customer service personnel
1185226,"@AmericanAir My wheels aren’t up - I gave up and now my bag is in NY and my 5:45AM flight is now $1,414 one way?! What on earth has happened to this airlines?",flight_disruption,high,Flight delay leading to separated bag and inflated rebooking fare
123525,"@AmericanAir Clearly you don't ""always"" if we are having this conversation. Just remind your folks to smile and say hello. Everyone pays good money to be here and working holidays does suck, I get it.",airport_gate_staff,high,Suggesting airport personnel improve welcoming demeanor
1522524,"@AmericanAir @473126 Here is their secret -if they leave the gate, its a departure, whether you actually leave the ground or not. On @AmericanAir its usually not",non_support,high,Sarcastic commentary on airline departure definitions
2442140,"@AmericanAir You still have time, my flight is this evening. Pls pls ask FA to ""discipline"" those idiots who carry and store multiple carryons and leave others without space.",onboard_aircraft,high,Requesting flight attendants enforce carry-on bin regulations
1771230,@AmericanAir When I fly @SouthwestAir I get free bags and early boarding for free!  Because they like my 40+ flights per year!  Total BS.  Some 19 yr old marketing moron....,loyalty_upgrade,high,Comparing frequent flyer benefits and free bags against rival
2572457,@AmericanAir @729565 @329789 unfortunately the @188323 want to give the Trump boys a private plane tax cut so it will be cheaper for @301294 to bring the slaughter home to share with his family,non_support,high,Off-topic political commentary
1866630,"@AmericanAir Mobile BP worked at the gate, despite multiple refreshes, delete old BP, reboot iPhone, still won't update. At least I got in some jogging",check_in,high,Reporting mobile boarding pass app synchronization issues
2761028,@AmericanAir Any other bullshit copy/paste responses you wanna send additionally and not actually address the problem? Or just continue to be useless. @116450 would you do that to your passengers?,contact_support,high,Complaining about canned automated customer support replies
1840929,"@AmericanAir The airline knew of the delay before they took off, so we could have been given a chance to exit the plane, go home, and try again next day.",flight_disruption,high,Demanding option to deplane during known departure delays
2288416,"@AmericanAir The 66th Miss Universe Pageant officially start only when Miss Venezuela comes to the host country so, can you tell to all Venezuelans the status of flight number AAL325? tx",flight_information,high,Requesting operational status of flight AAL325
699765,"@AmericanAir Though I understand that it's sometimes necessary for flights to be cancelled, our entire itinerary (and a six hour drive) was built around that direct flight.",flight_disruption,high,Grievance regarding cancelled non-stop flight disrupting schedule
1137506,"@AmericanAir Difference between first class and economy worth the cost at all, being stuffed like sardines and even as a platinum member the perks are",loyalty_upgrade,high,Questioning value of premium cabin and elite loyalty perks
1033182,"@AmericanAir Without at least an acknowledgement that a problem was found and fixed, she does not feel safe reboarding this flight. There *was* a problem",flight_disruption,medium,Expressing safety hesitation to reboard after mechanical delay
1689776,@AmericanAir Understood. But when you’re told at the gate that “this flight won’t accommodate your carry-on” is frustrating. Especially when you’ve...,baggage,high,Frustration with gate agents refusing carry-on luggage
2974362,@AmericanAir Doesn’t beat southwest where all tickets are refundable. Shouldn’t have to pay a fee if you don’t even know for certain that you’ll have to cancel!,fees_charges,high,Objecting to non-refundable ticket fees compared to competitor
238424,@AmericanAir Thank you @AmericanAir but Adele DeWitt had to pay for every change. Your agents don't seem to know when an airport will be open or not.,fees_charges,high,Complaining about fees charged for flight adjustments during airport closure
1211364,"@AmericanAir @404322 Does that come with a side of extra racism and discrimination for black passengers as well? If so, I'd rather fly @116450 or @SouthwestAir",non_support,high,Allegation of discriminatory customer treatment
1048352,"@AmericanAir Here’s fine.

AA 4540 (DCA-JFK) moved from Gate 37-&gt;42 with no announcement at 37, sms alert, or on 37’s screen.

One guess on the outcome.",airport_gate_staff,high,Unannounced gate reassignment causing missed departure
2398394,"@AmericanAir Yes, that does not dismiss the lack of option to pay for an alternate seat as you even mentioned previously or the negative attitude. You asked if you could help...where’s the help you offered?",seat,high,Inability to purchase alternate seating and unhelpful customer service
96049,@AmericanAir I called. I was told there's a $200 change fee. Then the rep insisted on cancelling his reservation it appeared so rather than that seat go unused it could be re-sold despite the fact I wasn't offered a refund.,fees_charges,high,Disputing $200 change fee and non-refunded cancelled seat
1013171,"@AmericanAir Landed at 1146 am, back of plane off by 1158 am.  Door to YUL flight closed at 1215 pm. Missed by 1 min along with 8 other ppl.  No time to get there connecting across airport. Need better scheduling.",flight_disruption,high,Missed connection caused by unrealistic connection window
294436,@AmericanAir AA told her MUST use the ticket by 2-18 but her nephew's wedding had to be cancelled due to storm.  She has no reason to use the ticket,booking_change,high,Requesting relief on ticket validity deadline after event cancellation
1942939,@AmericanAir That's 550 in charges or 18 hours of a $30/hr employee? Just paid someone half a weeks wages and customer gets nothing but aggrivation.,fees_charges,high,Protesting high total change and service charges ($550)
205425,@AmericanAir @164679 That's a new one. What circumstances make it operational? What compensation can we expect. I fly clt to ROA alot. Not happy about route.,refund_compensation,high,Inquiring about compensation eligibility for operational delay
1607048,@AmericanAir It’s not the delay @AmericanAir - maint issues happen. It’s the onboard treatment. A bag of pretzels is an insult. Let’s rethink american.,onboard_aircraft,high,Criticizing poor onboard food and refreshments during delay
1054354,@AmericanAir And wait until Monday!? Thanks for your outstanding efforts! You build loyal customers by going above and beyond not by doing the bare min!!,follow_up,high,Complaining about delay in customer service follow-up until next week
1837814,@AmericanAir Further down on website for basic economy it says 1 bag + personal item. Am I going to be charged extra if I go by what it says online?,baggage,high,Clarifying basic economy carry-on allowance rules and fees
2189547,"@AmericanAir Yes, I understand band appreciate that. If it fits it fits!  Just got off another flight with it!  Placed it in the model. Still you are not satisfied?  I have never, ever, seen this recourse from gate agents in the past! Should be better document if thus is your stance!",airport_gate_staff,high,Gate agent dispute over carry-on bag sizing compliance
2622962,@AmericanAir Yes. You switched our carousel number and didn't tell anybody. All of our stuff was sitting at 10 instead of 12 for an hour for anybody to steal. Finally some enterprising person found it.,baggage,high,Unannounced baggage carousel relocation causing confusion
1736540,@AmericanAir I have given the details to countless people and I’m not going to type it all here. Look at my complaints by using my advant number 29F5AD4,contact_support,high,Instructing support to access previous complaints via account number
417101,@AmericanAir I had to cut my honeymoon short BC of fire threatening my house &amp; I’m worried about my kids. But my loyalty to YOUR airline wasn’t rewarded,booking_change,medium,Requesting emergency itinerary change accommodation
468406,@AmericanAir I did but really service during this entire inconvenience has been really bad and no one can explain how it ended up in DAY when it was no where on my itinerary.,baggage,high,Inquiring about misdirected luggage flown to wrong airport
1622441,@AmericanAir Right - it works in the AP too.   Tracking doesn’t work when your bags get sent to baggage claim after checking in!   #RF #notmyfirsttrip,baggage,high,Reporting checked baggage tracking malfunction
1177330,"@AmericanAir Nothing personal, just extortonate fare for my most recent trip, SouthWest would have been 25%, then extremely tiny plane. Couldn't fit bag",fees_charges,medium,Criticizing inflated ticket prices and cramped aircraft space
2768597,@AmericanAir You could’ve helped and refused. Your scripted response to the DM was insulting.  Your #flightattendant was uncooperative and we were more than polite. #AmericanAirlines entire staff needs to go through #CustomerService training.  @486 will be hearing about this. #unlawful air!,onboard_aircraft,high,Complaining about unhelpful flight attendant and scripted support
2061947,"@AmericanAir If you won’t refund 100$, due to an emergency family issue, then you’ve shown your customer strategy. If frontier can refund so can you.",refund_compensation,high,Requesting refund for family emergency travel cancellation
1782445,@AmericanAir All you've done is what I already did online. How is that helpful? Everything is forms and answering machines. No one is actually helping.,contact_support,high,Complaining about ineffective automated support channels
1954118,"@AmericanAir Yes, Firefox and Chrome. I have a chromebook, no IE but it's not a display bug, anyway. Something is wrong in your backend (several things)",follow_up,high,Supplying browser and system troubleshooting details
1844577,@AmericanAir When I call there is no regard oh we will get back in contact with you it's draining they need to call me it's starting to get me more upset,contact_support,high,Demanding phone callback after empty callback promises
2886244,"@AmericanAir I just happened to check again, looking to see if my UPG cleared, and see an 32B seat map, and I had no seat.  What's going on over there?",seat,high,Investigating dropped seat assignment during upgrade processing
1113694,@AmericanAir My husband works for Fox News this is something he needs to do a story on how it’s one thing to have uncontrolled delays but another to lie,flight_disruption,high,Complaining about lack of honesty regarding flight delays
2108169,"@AmericanAir I'm NOT going back to the airport. After you guys lost it, you took a day to find it and deliver it only to completely destroy the lock. Will you be paying for my gas or a taxi? What about my lost time?",refund_compensation,high,Demanding compensation for damaged luggage lock and transportation
406735,@AmericanAir No bueno. Wish u cared more about your customers than ur bottom line. Especially with the recent natural disasters. Doesn't hurt to help,other_unclear,medium,General complaint requesting goodwill during natural disaster
570567,@AmericanAir If I didn’t have a couple grand sunk into a non refundable ticket on @116450 Air-lies for a return flight tomorrow I’d be switching over as we speak. ☹️,non_support,high,Casual comment contrasting competitor's non-refundable fares
2552852,"@AmericanAir After having gone out of my way to fly AA, since the '60's, and to see several dozen passengers treated like garbage, I'm utterly disappointed... I miss the real American Airlines",non_support,high,Customer sentiment expressing nostalgia and disappointment
2245113,@AmericanAir Reservations Supervisor Godfrey fixed it. Very nice. But you system for not spliting two elites on seperate reservations is very complex. Had to remove my AA number from record to make it work.,booking_change,high,Resolving split reservation issues on elite booking
2814090,"@AmericanAir I don’t understand. When I filed the report, I received a reply that I would get regular updates for 30 days. I’m w/in 30 days. So why am I now being told no updates?",follow_up,high,Checking missing updates on 30-day incident report
