customer_tweet_id,customer_message,brand_response,message_length
1113227,"@AmericanAir Appreciate apologies but was told my bag NEVER left Ohare Mon, now they say it's not here. Not fair for Vets to be treated like this!! HELP",@382732 We don't currently have an update. Our apologies.,28
2197175,@AmericanAir don’t fly @137434 and will now no longer fly with American. Should tell higher ups to reconsider the mode,@599893 We hope to see you on board. We offer a variety of fares that offers our customers different services.,20
416468,"@AmericanAir While I couldn't seem to board an on-time plane today, apparently I'm still better off than my suitcase. #baggageMIA","@214345 Thank you, Ashley. Your support means a lot to us and our #AATeam.",20
246056,"@AmericanAir Seriously - the delays and customer service have gotten worse since the US Airways acquisition. You just got a new loyal customer, @Delta.",@174443 We're sorry for the lateness today. We appreciate you hanging in there.,24
2810019,"@AmericanAir The gate lady hooked it up, you’re back on my good side",@783665 Meet us in DM with your record locator and we'll take a peek.,13
271643,@AmericanAir Okay thanks I responded,@180823 We see your DMs and we'll be responding shortly.,5
2473745,@AmericanAir Thank you,@707304 We're sorry about the seat change. The seat will be refunded back to you automatically.,3
2827839,@AmericanAir How can I fly standby if you cancelled my flight?,"@787610 We're sorry to hear you feel this way, what's going on and how can we help?",11
2127676,@AmericanAir My wife and I️ will gladly take a first class upgrade on our second leg to make up for it 😬,"@626415 We hear you, but we don't always have a reserve crew available and weather is always changing. We appreciate your patience, Frankie.",22
1752753,@AmericanAir Yay!,@528004 Nationals of Venezuela are allowed to enter with an expired Venezuelan passport.,2
328143,@AmericanAir I waited for one for over an hour,@194120 What's your flight number? We'll take a look.,9
352455,@AmericanAir Thanks @AmericanAir still waiting on the specific customer contact info for baggage refund,@199811 We're very sorry for the delay but glad to see that you're on your way. Our pilots will look to make up time and have you in DCA shortly.,14
462875,@AmericanAir Thanks for apology. From the heart 😕That helps me get home. Maybe instead @116450 @Delta can match my execplat status?,@225002 We know having your seat changed last minute can be frustrating. Your loyalty is very important to us and we're very sorry.,21
788727,@AmericanAir Not what the attendant said.,"@308083 We're sorry to hear you missed your flight. If you were trying to check bags, our cutoff is 45 min prior to departure.",6
993581,@AmericanAir It's great that you have that desire. What are you doing to get flight 2289 off the ground?,"@355378 We're sorry we're unable to get you back to the big game, Nicholas. We always want to get you to your destination on time.",19
1354813,@AmericanAir Ive now spent over 5 hours in DFW and am now reboarding...any good faith available? #blindloyalty #goingforgreat #delayedallday,"@435934 Once we have an update, we try to update the information to our customers.",19
521881,@AmericanAir No your gate agent lied so you were not transparent and not most updated info avail. You were delaying to get a back up flight attendant the crew told us.,@240503 Our goal is to be transparent and provide the most updated information available. We're glad to see you've departed the gate.,31
2194811,"@AmericanAir I️ did, the least you could do is respond  Again, I️ can see where you stand with your customers and how much you value them by this lack of respect and rudeness.","@642212 Please follow and DM your record locator and we'll take a look at your reservaion, McKinley.",33
1254663,@AmericanAir My heroes!!,@414286 We're happy to take a peek. Please DM your record locator and what change you need to make.,3
354733,@AmericanAir Your team in St Lucia is not to blame for us getting home or not. It is all about American Airlines in Dallas. This is a headquarters issue. This is squarely on you to take blame and resolve. That's why I complain here and not to the ticket booth.,@200308 Our airport teams are working hard to get you home and they'll be sure to have you on your way as soon as possible.,50
104360,@AmericanAir Can Santa Barbara (SBA) get it's LAX flights back?,"Yaasss. Your travels just got sweeter… like maple syrup sweet!😉

Starting 12/4, book YYC or YVR direct from ORD bc YNOT? https://t.co/ttLmfg2Q3M https://t.co/wyaYr2EuAu",10
390114,@AmericanAir Heaven forbid @AmericanAir actually provides contact info to a living breathing thinking human being.,@199811 Bag or other non flight charges can be requested via that site with the receipt number. Additional details can be added in a text box.,15
2877494,@AmericanAir What's DM?,@798726 We'll be happy to take a closer look at it if you'd like. Meet us in DM with the record locator?,3
466940,@AmericanAir Nope still waiting!  But at least we got air now!,@159228 We'll get you going as fast as possible. We're happy to check on an update if you need one.,11
2815154,@AmericanAir Well your crew is inconsistent. Thank you for this information I will be sure to NEVER fly @americanair ever again as every other airline allows economy passengers a carry on item,@784846 Basic Economy ticket have never included a carry-on bag. This is shared at purchase and check-in.,32
792199,@AmericanAir Doesn’t say that on ur link.,@308903 The baggage info for Basic Economy is provided during purchase and check-in. Please see here: https://t.co/MKvFFVWJdz,7
588932,"@AmericanAir I'll be happy as long as they new young planes are all atleast 737s. 

These CJ900s should all be sent to the junkyard. https://t.co/M9yJP5HTpS","@259200 John, we're sorry to hear you're disappointed with us. We hear you and appreciate your feedback. We'll have the youngest fleet by next month",25
56158,"@AmericanAir Yes, you could not make me pay twice for the same ticket",@117055 We're sorry this has been your experience. Please let us know if we can help in some way.,13
1861017,"@AmericanAir Took a while but got there in the end! Thanks twitter team you never gave up on me, you take a lot of flack every day but you are amazing!🌟",@311829 Glad to hear our #AATeam got this taken care of Michael. Only the best for you.,31
437496,@AmericanAir I've tried to call 3 times now but am continuously being placed on long holds,@218897 We're sorry to hear this. Please file a claim with our specialists by calling 800-866-4010.,16
957805,"@AmericanAir I encourage your lounge department to look at a map and see that Trinidad is further south than the islands off Venezuela, which qualifies",@347267 We're sorry to hear we've disappointed you. We have a great link with all the details: https://t.co/w4iZrbs6Ak,25
368429,"@AmericanAir We did,they hung up on my husband #overbooked #overbooking #americanairlines #worstairline #airline #airlines they dont care about customers",@203297 Our apologies for the experience. Please work with our airport team for best options.,19
2770010,@AmericanAir Traveling* but noted. Thanks!,@234085 Sounds like you're travelling on a Basic Economy fare that comes with charges if you bring a carry-on bag: https://t.co/MKvFFVWJdz,5
1118785,@AmericanAir Thank you.  I wouldn't be so upset but they didn't allow her to bring her carry on board and charged her on the return?? Conf #FURNDK Tks.,@383958 We can take a closer look at this Tony. Meet us in DM with the record locator and more info.,28
2051533,"@AmericanAir 3k7wd56, you can check.  I wouldn’t complain if this wasn’t 100% a bad gate agent. I expect better.","@606699 Some overhead bins are smaller, depending on the type plane. We're so sorry for the inconvenience.",19
376366,.@AmericanAir please update planes to at least 2007 level.  Your fleet is awful - should charge econo prices with your econo planes,@205276 We're not trying to give you a hard time just quite the opposite. Please let us know how we can help.,22
2055985,"@AmericanAir Well, it didn't but I still was forced to check it. But thanks for the super helpful link, now I'll definitely not be late for the wedding 😐","@608025 If your carry-on baggage didn't exceed the guidelines found here: https://t.co/AqqDo7qAE3, then you should have been able to take it.",29
229262,"@AmericanAir Also, people paid extra for exit row - and what do they get???","@170677 Based on operational needs an equipment change may happen, our apologies for any inconvenience it's made to your travel plans.",14
475773,@AmericanAir what are you going to do to compensate me- first class seat that doesn’t work? On a red-eye?,@228104 We appreciate you letting us know. We'll pass this on to the right people to get it taken care of.,19
817733,@AmericanAir I appreciate it but please don't try to pacify me with a canned response. I don't have her name but please take action ☹️,"@314771 Our sincere apologies for any rudeness, Victoria. We consider you as fAAmily and strive to provide exceptional service at all times.",25
710163,@AmericanAir This feels like a deliberate ploy to charge ppl fee's when they done their due diligence to check in on time.,@289025 We added the waiver so you wouldn't have to pay the change to get confirmed on the next flight.,22
2308364,@AmericanAir @AmericanAir AA customer service has a bad attitude and not willing to help. Been waiting 1.5 hours for luggage. #flyunited,"@669579 Gail, you want to be on your way with your luggage and rest assured, our ground crew in CLT is doing all possible to make it happen.",21
1849018,"@AmericanAir Sadly not. You’ve moved us to another gate and there’s no sign of the plane still, so definitely going to miss the game now",@402456 We see you've left the gate and our Captain will have you #wheelsup soon so you can enjoy the game!,25
2116445,@AmericanAir DM sent.,"@623878 We'd be happy to. Please send us a DM with your record locator, KTN and verify your birthday.",3
393686,@AmericanAir @209254 Give him a tissue 😂😂,"@209254 We're sensing some frustration, Joe. How can we help turn things around?",7
1227530,@AmericanAir Sent,@407963 We're so sorry hearing this. Did our team help you with another option? DM us if you need some assistance.,2
1955131,@AmericanAir Nope. Roads won't be open until tomorrow. Was forced to buy a new ticket. You lost a customer today.,"@580332 If available, we offer a Same Day Flight Change for $75. Please call 800-433-7300 to see if it's offered on any flights today.",20
1116476,@AmericanAir Still no first officer any one know why this has now delayed us from 6:45 until never ever land?,@203186 Flight 3007 has been updated with an estimated departure time of 8a.,20
1697690,"@AmericanAir Things happen but what makes a company great is their customer service, which is clearly lacking at #AmericanAirlines",@514952 We're very sorry for the stress this caused you. Please give us a call if we can assist you: https://t.co/Y3rvFiW5bQ,19
1170685,@AmericanAir They did try to work with customer service. Even a supervisor. They were told they were on their own,@395338 Please DM us your child's record locator and we'll take a look at this for you. It's best for them to work directly with our airport team.,20
1116485,@AmericanAir Bot,"@383448 Jesse, we're sensing some frustration. What's your flight number?",2
2122695,@AmericanAir I did last night. Lost item ID 6964514,"@625344 Please be sure to fill out this Lost and Found form and we'll get right on it, Dave. https://t.co/JsEGHYNki5",9
1240632,@AmericanAir That's not how you treat customers especially when you have a PR crisis like you have,"@395986 If you change, and your ticket is non-refundable, then there would be a change charge plus any fare difference.",17
1502262,@AmericanAir The fact that I got a twitter response faster than I could talk to an agent at one of your biggest hubs says it all. Thanks!,"@468683 We're sensing some frustration, Justin. How can we help you today?",27
917515,@AmericanAir They took good care - Maintenance fixed it - thx,@306037 We've sent you feedback on. We'll let maintenance know about your seat but please also let a crewmember know.,11
2174452,@AmericanAir There are no American employees here at airport.,"@637553 We do our very best to avoid this, Beth. We're so sorry this happened.",9
2963626,@AmericanAir Zvbetr just spent 15 minutes with customer service,@817733 Please follow and DM your record locator. We'll take a look at your reservation.,9
1094824,@AmericanAir Just landed.  Another horrible AA flight.  Cabin went from 66 degrees up to 84.  Waking all up.  Flight attndt could barely fit down aisle,@378344 We're updating our fleet adding new planes every week and can't wait for you to fly on one.,25
560097,"@AmericanAir @250991 Yeah, why wouldn’t you want to hear about 25,000 free miles just for signing up, while you’re strapped to a seat with nowhere to run?!?!","@250991 We're just making sure all our customers are aware of the benefits and perks we have to offer, Jonathan.",27
932166,@AmericanAir Going and returning had to request seats together from tkt agent. Why not assigned together from the get go?,"@341119 We appreciate your feedback, Karen. We always want to give our customers the best options when booking with us.",20
2451828,@AmericanAir I respectfully again request now a refund of $100. @AmericanAir #AmericanAirlines,@130072 We make the terms very clear and available during the purchase process on our website. We're not able to refund this charge.,12
160675,@AmericanAir Those confirmed upgrades didn’t come through? Oh wait. You lied. Will you publicly admit that or should I post by boarding pass?,@153030 We see our airport team has you rebooked with confirmed upgrades on later flights. Our apologies for any inconvenience caused.,23
1219399,@AmericanAir You are free to DM me,"@406095 This isn't the First Class experience we had planned for you, Kenny. We're sorry about the changes. Let us know if we can assist you via DM?",7
1266616,"@AmericanAir Cool. So Cathay says it’s you, and you say it’s Cathay. Glad you guys are “working together behind the scenes” for us.... #honeymoonhell","@401844 Our apologies, we don't have any other info available to provide at this time. Please continue working with Cathay for any updates.",24
1004758,@AmericanAir Thanks guys will send you now.,@357813 We'll be happy to check on this for you if you can meet us in DM with your record locator!,7
2945162,"@AmericanAir This link has already been shared with me and I’m stating that AA has additional policy that is not listed apparently. Also why would the website list a same day change option that violates policy, and policy that is not published.",@213629 The Same Day Flight Change can't be processed until 24 hours before. Here's some info: https://t.co/ZtcjNpklsL.,42
1947354,@AmericanAir I will never fly @AmericanAir again.,@578655 We love making your experience the best and we’re sorry to hear otherwise. What’s going on and how can we help?,7
492650,@AmericanAir I've done that. I now want to complain to YOUR company about their relationship with Citi. You shouldn't be working with a company that is so dismissive of their customers.,@232443 We understand that you're frustrated and we'd love to help. But you need to work with Citi directly for any assistance.,31
1671870,@AmericanAir @508852 Ohh my god!! :),"@508852 We're happy to have you on board again, Sybil! Enjoy the First Class perks. #VIP",6
1507466,@AmericanAir This would be for a trip tomorrow 10/17. An urgent situation. Just thought using ya’ll as my preferred airline was worth something,@356681 The taxes are always charge but the $75 charge doesn't apply for flights booked with a 21 day advance.,23
2300828,@AmericanAir I'm most likely going to loss my connection for this....... this is so unacceptable. Wish I could've gone with JetBlue.,"@667770 On time flight are the best plan. We truly appreciate your patience with the added wait today, Natalia.",21
417106,"@AmericanAir @214512 Yeah, talk to them in DM cause they don’t want the whole world knowing how bad they screwed you over.","@214512 Kelly, please meet us in DMs so we can help you with your tickets.",22
229290,@AmericanAir #thankyou,@170682 We always love having you on board and are ready to fly you to the beach. Have a great trip!,2
1790245,@AmericanAir @537770 Bruh they delayed my flight 2hrs today. I won’t be flying with them again😂,@537770 We're sorry about the cancellation. Please DM your record locator if you need help with rebooking.,16
611719,@AmericanAir Do I have guaranteed seat on flight 3059 ? Record Locator is ZKZEFU,"@265449 Correct, There was a maintenance delay on that flight.",14
993582,"@AmericanAir 140, 150... I fell asleep... Currently 235 but the odds of us making that don't look good.","@355378 We're sorry we're unable to get you back to the big game, Nicholas. We always want to get you to your destination on time.",18
